Offset
+0.00000000e+000	 	 

Scaling Factor
+1.00000000e+000	 	

Start Data: 05.05.2017 14:18:57 630 ms

Time	 CH1	 
+2.95000000e+001 	+6.33190000e+004 	
+2.95100000e+001 	+6.33980000e+004 	
+2.95200000e+001 	+6.34810000e+004 	
+2.95300000e+001 	+6.35680000e+004 	
+2.95400000e+001 	+6.36590000e+004 	
+2.95500000e+001 	+6.37530000e+004 	
+2.95600000e+001 	+6.38510000e+004 	
+2.95700000e+001 	+6.39520000e+004 	
+2.95800000e+001 	+6.40580000e+004 	
+2.95900000e+001 	+6.41650000e+004 	
+2.96000000e+001 	+6.42750000e+004 	
+2.96100000e+001 	+6.43870000e+004 	
+2.96200000e+001 	+6.45000000e+004 	
+2.96300000e+001 	+6.46100000e+004 	
+2.96400000e+001 	+6.47140000e+004 	
+2.96500000e+001 	+6.48100000e+004 	
+2.96600000e+001 	+6.48990000e+004 	
+2.96700000e+001 	+6.49820000e+004 	
+2.96800000e+001 	+6.50590000e+004 	
+2.96900000e+001 	+6.51330000e+004 	
+2.97000000e+001 	+6.52060000e+004 	
+2.97100000e+001 	+6.52770000e+004 	
+2.97200000e+001 	+6.53500000e+004 	
+2.97300000e+001 	+6.54270000e+004 	
+2.97400000e+001 	+6.55080000e+004 	
+2.97500000e+001 	+5.80000000e+001 	
+2.97600000e+001 	+1.47000000e+002 	
+2.97700000e+001 	+2.40000000e+002 	
+2.97800000e+001 	+3.37000000e+002 	
+2.97900000e+001 	+4.37000000e+002 	
+2.98000000e+001 	+5.42000000e+002 	
+2.98100000e+001 	+6.50000000e+002 	
+2.98200000e+001 	+7.58000000e+002 	
+2.98300000e+001 	+8.70000000e+002 	
+2.98400000e+001 	+9.82000000e+002 	
+2.98500000e+001 	+1.09200000e+003 	
+2.98600000e+001 	+1.19900000e+003 	
+2.98700000e+001 	+1.29700000e+003 	
+2.98800000e+001 	+1.38700000e+003 	
+2.98900000e+001 	+1.47000000e+003 	
+2.99000000e+001 	+1.54900000e+003 	
+2.99100000e+001 	+1.62300000e+003 	
+2.99200000e+001 	+1.69500000e+003 	
+2.99300000e+001 	+1.76600000e+003 	
+2.99400000e+001 	+1.83800000e+003 	
+2.99500000e+001 	+1.91200000e+003 	
+2.99600000e+001 	+1.99200000e+003 	
+2.99700000e+001 	+2.07600000e+003 	
+2.99800000e+001 	+2.16200000e+003 	
+2.99900000e+001 	+2.25400000e+003 	
+3.00000000e+001 	+2.34900000e+003 	
+3.00100000e+001 	+2.44900000e+003 	
+3.00200000e+001 	+2.55000000e+003 	
+3.00300000e+001 	+2.65600000e+003 	
+3.00400000e+001 	+2.76300000e+003 	
+3.00500000e+001 	+2.87400000e+003 	
+3.00600000e+001 	+2.98500000e+003 	
+3.00700000e+001 	+3.09600000e+003 	
+3.00800000e+001 	+3.20400000e+003 	
+3.00900000e+001 	+3.30600000e+003 	
+3.01000000e+001 	+3.40000000e+003 	
+3.01100000e+001 	+3.48700000e+003 	
+3.01200000e+001 	+3.56800000e+003 	
+3.01300000e+001 	+3.64400000e+003 	
+3.01400000e+001 	+3.71800000e+003 	
+3.01500000e+001 	+3.79000000e+003 	
+3.01600000e+001 	+3.86200000e+003 	
+3.01700000e+001 	+3.93700000e+003 	
+3.01800000e+001 	+4.01700000e+003 	
+3.01900000e+001 	+4.10000000e+003 	
+3.02000000e+001 	+4.18800000e+003 	
+3.02100000e+001 	+4.28000000e+003 	
+3.02200000e+001 	+4.37500000e+003 	
+3.02300000e+001 	+4.47500000e+003 	
+3.02400000e+001 	+4.57700000e+003 	
+3.02500000e+001 	+4.68300000e+003 	
+3.02600000e+001 	+4.79200000e+003 	
+3.02700000e+001 	+4.90300000e+003 	
+3.02800000e+001 	+5.01500000e+003 	
+3.02900000e+001 	+5.12800000e+003 	
+3.03000000e+001 	+5.23800000e+003 	
+3.03100000e+001 	+5.34100000e+003 	
+3.03200000e+001 	+5.43600000e+003 	
+3.03300000e+001 	+5.52400000e+003 	
+3.03400000e+001 	+5.60500000e+003 	
+3.03500000e+001 	+5.68200000e+003 	
+3.03600000e+001 	+5.75500000e+003 	
+3.03700000e+001 	+5.82600000e+003 	
+3.03800000e+001 	+5.89800000e+003 	
+3.03900000e+001 	+5.97100000e+003 	
+3.04000000e+001 	+6.04900000e+003 	
+3.04100000e+001 	+6.13200000e+003 	
+3.04200000e+001 	+6.21700000e+003 	
+3.04300000e+001 	+6.30700000e+003 	
+3.04400000e+001 	+6.40000000e+003 	
+3.04500000e+001 	+6.49700000e+003 	
+3.04600000e+001 	+6.59700000e+003 	
+3.04700000e+001 	+6.70100000e+003 	
+3.04800000e+001 	+6.80900000e+003 	
+3.04900000e+001 	+6.91700000e+003 	
+3.05000000e+001 	+7.02800000e+003 	
+3.05100000e+001 	+7.14000000e+003 	
+3.05200000e+001 	+7.25000000e+003 	
+3.05300000e+001 	+7.35500000e+003 	
+3.05400000e+001 	+7.45200000e+003 	
+3.05500000e+001 	+7.54000000e+003 	
+3.05600000e+001 	+7.62300000e+003 	
+3.05700000e+001 	+7.70100000e+003 	
+3.05800000e+001 	+7.77400000e+003 	
+3.05900000e+001 	+7.84600000e+003 	
+3.06000000e+001 	+7.91600000e+003 	
+3.06100000e+001 	+7.98900000e+003 	
+3.06200000e+001 	+8.06300000e+003 	
+3.06300000e+001 	+8.14300000e+003 	
+3.06400000e+001 	+8.22600000e+003 	
+3.06500000e+001 	+8.31300000e+003 	
+3.06600000e+001 	+8.40500000e+003 	
+3.06700000e+001 	+8.50000000e+003 	
+3.06800000e+001 	+8.59900000e+003 	
+3.06900000e+001 	+8.70100000e+003 	
+3.07000000e+001 	+8.80700000e+003 	
+3.07100000e+001 	+8.91400000e+003 	
+3.07200000e+001 	+9.02400000e+003 	
+3.07300000e+001 	+9.13600000e+003 	
+3.07400000e+001 	+9.24600000e+003 	
+3.07500000e+001 	+9.35400000e+003 	
+3.07600000e+001 	+9.45400000e+003 	
+3.07700000e+001 	+9.54600000e+003 	
+3.07800000e+001 	+9.63100000e+003 	
+3.07900000e+001 	+9.70900000e+003 	
+3.08000000e+001 	+9.78400000e+003 	
+3.08100000e+001 	+9.85500000e+003 	
+3.08200000e+001 	+9.92400000e+003 	
+3.08300000e+001 	+9.99400000e+003 	
+3.08400000e+001 	+1.00660000e+004 	
+3.08500000e+001 	+1.01420000e+004 	
+3.08600000e+001 	+1.02230000e+004 	
+3.08700000e+001 	+1.03070000e+004 	
+3.08800000e+001 	+1.03950000e+004 	
+3.08900000e+001 	+1.04880000e+004 	
+3.09000000e+001 	+1.05840000e+004 	
+3.09100000e+001 	+1.06830000e+004 	
+3.09200000e+001 	+1.07860000e+004 	
+3.09300000e+001 	+1.08930000e+004 	
+3.09400000e+001 	+1.10010000e+004 	
+3.09500000e+001 	+1.11120000e+004 	
+3.09600000e+001 	+1.12230000e+004 	
+3.09700000e+001 	+1.13320000e+004 	
+3.09800000e+001 	+1.14380000e+004 	
+3.09900000e+001 	+1.15360000e+004 	
+3.10000000e+001 	+1.16260000e+004 	
+3.10100000e+001 	+1.17090000e+004 	
+3.10200000e+001 	+1.17870000e+004 	
+3.10300000e+001 	+1.18620000e+004 	
+3.10400000e+001 	+1.19340000e+004 	
+3.10500000e+001 	+1.20050000e+004 	
+3.10600000e+001 	+1.20780000e+004 	
+3.10700000e+001 	+1.21530000e+004 	
+3.10800000e+001 	+1.22330000e+004 	
+3.10900000e+001 	+1.23180000e+004 	
+3.11000000e+001 	+1.24050000e+004 	
+3.11100000e+001 	+1.24980000e+004 	
+3.11200000e+001 	+1.25940000e+004 	
+3.11300000e+001 	+1.26950000e+004 	
+3.11400000e+001 	+1.27970000e+004 	
+3.11500000e+001 	+1.29050000e+004 	
+3.11600000e+001 	+1.30130000e+004 	
+3.11700000e+001 	+1.31240000e+004 	
+3.11800000e+001 	+1.32370000e+004 	
+3.11900000e+001 	+1.33480000e+004 	
+3.12000000e+001 	+1.34560000e+004 	
+3.12100000e+001 	+1.35560000e+004 	
+3.12200000e+001 	+1.36490000e+004 	
+3.12300000e+001 	+1.37350000e+004 	
